
CSVRecord [comment=null, mapping=null, recordNumber=2, values=[Mason, Anderson, 235, Arthur Street, Victoria, New Brunswick, N8H 2H6, Canada, 1380924357, Mason@student.com]]
CSVRecord [comment=null, mapping=null, recordNumber=3, values=[, Taylor, 275, Bison Crescent, Newmarket, Alberta, V8C 0S2, Canada, 199987936, null@hand.com]]
CSVRecord [comment=null, mapping=null, recordNumber=4, values=[Ethan, Anderson, 169, Barkton Lane, Victoria, Saskatchewan, J1S 0R4, Canada, 465541003, Ethan@job.com]]
CSVRecord [comment=null, mapping=null, recordNumber=5, values=[, Moore, 309, Chisholm Avenue, Barrie, Manitoba, G3H 0B4, Canada, 170637803, null@mother.com]]
CSVRecord [comment=null, mapping=null, recordNumber=6, values=[, Johnson, 151, Birchfield Crescent, Prince George, Newfoundland and Labrador, G0H 2P3, Canada, 939619083, null@student.com]]
CSVRecord [comment=null, mapping=null, recordNumber=7, values=[Ethan, Williams, 463, Birmingham Street, Edmonton, Prince Edward Island, H3J 3P2, Canada, 778754597, Ethan@people.com]]
CSVRecord [comment=null, mapping=null, recordNumber=8, values=[Alexander, Miller, 224, Carlina Court, Airdrie, New Brunswick, E7E 3T7, Canada, 680234957, Alexander@group.com]]
CSVRecord [comment=null, mapping=null, recordNumber=9, values=[Jacob, Taylor, 13, Bridget Avenue, Mississauga, Prince Edward Island, L9R 0A0, Canada, 762382921, Jacob@point.com]]
CSVRecord [comment=null, mapping=null, recordNumber=10, values=[Liam, Thomas, 230, Brigadier Court, Wood Buffalo, Northwest Territories, J0J 3V6, Canada, 783554246, Liam@place.com]]
CSVRecord [comment=null, mapping=null, recordNumber=11, values=[, Thomas, 43, Chisholm Avenue, Red Deer, British Columbia, N5C 2J8, Canada, 1257351275, null@program.com]]
CSVRecord [comment=null, mapping=null, recordNumber=12, values=[Alexander, Williams, 477, Armdale Rotary, North Vancouver, Nunavut, J9P 1C6, Canada, 284388165, Alexander@child.com]]
CSVRecord [comment=null, mapping=null, recordNumber=13, values=[Ethan, Jackson, 259, Chelsea Lane, Winnipeg, Alberta, E5V 3X5, Canada, 660337715, Ethan@thing.com]]
CSVRecord [comment=null, mapping=null, recordNumber=14, values=[Ethan, Johnson, 232, Brunswick Street, New Westminster, Nunavut, E5V 3X5, Canada, 946198755, Ethan@week.com]]
CSVRecord [comment=null, mapping=null, recordNumber=15, values=[William, Moore, 157, Belmont Road, Brampton, Prince Edward Island, N5C 2J8, Canada, 1244717635, William@system.com]]
CSVRecord [comment=null, mapping=null, recordNumber=16, values=[Ethan, Anderson, 133, Bloomfield Street, Red Deer, Quebec, L3V 1Y8, Canada, 791961117, Ethan@night.com]]
CSVRecord [comment=null, mapping=null, recordNumber=17, values=[Jacob, Miller, 483, Burgee Run, Abbotsford, Nova Scotia, N8A 0B3, Canada, 802209791, Jacob@group.com]]
CSVRecord [comment=null, mapping=null, recordNumber=18, values=[William, Jones, 37, Bedford Highway, Chatham-Kent, Prince Edward Island, T1L 2H8, Canada, 323092582, William@system.com]]
CSVRecord [comment=null, mapping=null, recordNumber=19, values=[Ethan, Brown, 322, Atlantic Street, Coquitlam, Prince Edward Island, V8C 0S2, Canada, 500470346, Ethan@hand.com]]
CSVRecord [comment=null, mapping=null, recordNumber=20, values=[Liam, Wilson, 56, Armdale Rotary, Maple Ridge, Nunavut, , Canada, 761690345, Liam@world.com]]
CSVRecord [comment=null, mapping=null, recordNumber=21, values=[, Davis, 57, Bond Street, St. Catharines, Northwest Territories, L3V 1Y8, Canada, 613548349, null@school.com]]
CSVRecord [comment=null, mapping=null, recordNumber=22, values=[Liam, Moore, 467, Amirault Court, Calgary, Northwest Territories, J1S 0R4, Canada, 1131514778, Liam@way.com]]
CSVRecord [comment=null, mapping=null, recordNumber=23, values=[James, , 50, Blink Bonnie Terrace, Maple Ridge, Saskatchewan, J9P 1C6, Canada, 225825664, James@country.com]]
CSVRecord [comment=null, mapping=null, recordNumber=24, values=[, Miller, 67, Bedford Highway, Burlington, British Columbia, J9T 3H4, Canada, 141684999, null@state.com]]
CSVRecord [comment=null, mapping=null, recordNumber=25, values=[Alexander, Thomas, 218, Alex Street, Lethbridge, Newfoundland and Labrador, B3V 2V1, Canada, 711391142, Alexander@life.com]]
CSVRecord [comment=null, mapping=null, recordNumber=2, values=[William, Davis, 140, Alm-c Ramp, Niagara Falls, , G6X 2L1, Canada, 1180413121, William@man.com]]
CSVRecord [comment=null, mapping=null, recordNumber=3, values=[Mason, Moore, 477, Albemarle Street, Mississauga, Nunavut, E4S 3C4, Canada, 1037402352, Mason@program.com]]
CSVRecord [comment=null, mapping=null, recordNumber=4, values=[Ethan, Thomas, 416, Beech Street, Coquitlam, Alberta, N8H 2H6, Canada, 267988311, Ethan@system.com]]
CSVRecord [comment=null, mapping=null, recordNumber=5, values=[Ethan, Johnson, 140, Blue Thistle Road, Saanich, Prince Edward Island, N8H 2H6, Canada, 587856619, Ethan@man.com]]
CSVRecord [comment=null, mapping=null, recordNumber=6, values=[William, Miller, 14, Campbell Drive, L̩vis, Nova Scotia, E5V 3X5, Canada, 1304122804, William@state.com]]
CSVRecord [comment=null, mapping=null, recordNumber=7, values=[William, Miller, 242, Chelsea Lane, Pickering, Northwest Territories, B2E 0X4, Canada, 757457142, William@government.com]]
CSVRecord [comment=null, mapping=null, recordNumber=8, values=[Jacob, Miller, 391, Armoury Place, Drummondville, , E5V 3X5, Canada, 377100806, Jacob@case.com]]
CSVRecord [comment=null, mapping=null, recordNumber=9, values=[Jacob, Jackson, 113, Canary Crescent, Ottawa, New Brunswick, E7E 3T7, Canada, 886852069, Jacob@case.com]]
